id,Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,ExitRates,PageValues,SpecialDay,Month,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,revenue
35.0,4.0,85.0,0.0,0.0,3.0,43.5,0.0,0.05,0.0,0.0,Dec,,1.0,1.0,8.0,New_Visitor,1.0,0.0
36.0,0.0,0.0,0.0,0.0,25.0,9.483.428.571,0.0,9.000.000.000.000.000,0.0,0.0,Nov,,4.0,1.0,3.0,Returning_Visitor,0.0,0.0
37.0,9.0,243.25,3.0,,79.0,3.497.214.286,3.448.276,12.643.678,3.259.864.309,0.0,Dec,,2.0,2.0,2.0,Returning_Visitor,0.0,0.0
38.0,0.0,0.0,0.0,,4.0,35.0,0.0,0.05,0.0,0.0,Mar,,2.0,9.0,3.0,Returning_Visitor,0.0,0.0
39.0,0.0,0.0,0.0,,13.0,5.469.583.332.999.990,0.0,33.846.154,0.0,0.0,Dec,,2.0,1.0,3.0,Returning_Visitor,0.0,0.0
40.0,,0.0,0.0,0.0,9.0,7.401.666.667.000.000,,14.285.714,0.0,0.0,Nov,,2.0,1.0,1.0,Returning_Visitor,0.0,0.0
41.0,0.0,0.0,0.0,0.0,8.0,140.25,121.428.571,14.375,0.0,0.0,Dec,3.0,2.0,2.0,13.0,Returning_Visitor,0.0,0.0
42.0,0.0,0.0,0.0,0.0,12.0,5.473.333.332.999.990,0.0,33.333.333,0.0,0.0,Mar,,2.0,1.0,3.0,Returning_Visitor,0.0,0.0
43.0,,0.0,0.0,0.0,8.0,194.4,0.0,25,0.0,0.0,Aug,,10.0,6.0,4.0,Returning_Visitor,0.0,0.0
44.0,,55.5,0.0,0.0,63.0,1.656.316.667,4.166.667,15.989.583,0.0,0.0,Mar,,2.0,2.0,2.0,Returning_Visitor,1.0,0.0
45.0,1.0,5.0,0.0,,108.0,2367.4,0.0,3.773.585,0.0,0.0,Dec,,2.0,1.0,2.0,New_Visitor,1.0,0.0
46.0,9.0,6.554.166.667,0.0,,6.0,7.441.666.667.000.000,0.0,,0.0,0.0,Dec,,4.0,1.0,2.0,Returning_Visitor,0.0,0.0
47.0,0.0,0.0,0.0,0.0,3.0,164.0,0.0,0.1,0.0,0.0,May,,2.0,1.0,3.0,Returning_Visitor,0.0,0.0
48.0,0.0,0.0,0.0,0.0,8.0,8.633.333.332.999.990,0.0,,0.0,0.0,Mar,,2.0,4.0,3.0,Returning_Visitor,1.0,0.0
49.0,0.0,0.0,1.0,14.0,19.0,1666.75,0.0,21.052.632,0.0,0.0,Nov,,13.0,9.0,20.0,Other,0.0,0.0
50.0,0.0,0.0,1.0,0.0,36.0,671.425,,16.216.216.000.000.000,0.0,0.0,Dec,2.0,4.0,1.0,2.0,Returning_Visitor,0.0,0.0
51.0,0.0,0.0,0.0,0.0,7.0,108.25,0.0,28.571.429,0.0,0.0,Dec,2.0,2.0,7.0,2.0,New_Visitor,1.0,0.0
52.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,2.0,2.0,1.0,13.0,Returning_Visitor,0.0,0.0
53.0,4.0,103.0,0.0,,32.0,1.092.183.333,0.0,625,0.0,0.0,Jul,,2.0,6.0,1.0,Returning_Visitor,0.0,0.0
54.0,4.0,47.0,0.0,0.0,26.0,3.801.666.667,0.0,15.873.016,0.0,0.0,May,,1.0,1.0,1.0,Returning_Visitor,0.0,0.0
55.0,0.0,0.0,0.0,0.0,4.0,6.0,0.1,0.15,0.0,0.2,May,,2.0,3.0,13.0,Returning_Visitor,0.0,0.0
56.0,0.0,0.0,0.0,0.0,7.0,9.833.333.333,28.571.429,32.653.061.000.000.000,0.0,0.0,May,,1.0,1.0,3.0,Returning_Visitor,0.0,0.0
57.0,1.0,38.0,2.0,20.0,57.0,2.931.580.303,4,21.833.333,0.0,1.0,May,,2.0,4.0,2.0,Returning_Visitor,1.0,0.0
58.0,,156.8,4.0,262.75,12.0,3.504.253.968.000.000,2.614.379,41.356.389,0.0,0.4,May,,2.0,1.0,4.0,Returning_Visitor,0.0,0.0
59.0,,1.868.666.667,0.0,0.0,126.0,3.372.826.797,625,23.480.903,0.0,0.6,May,,2.0,7.0,2.0,Returning_Visitor,0.0,0.0
60.0,0.0,0.0,0.0,,7.0,1.699.866.667,125,33.333.333,2.127.271.783,0.0,Jul,,2.0,7.0,2.0,New_Visitor,0.0,1.0
61.0,0.0,0.0,0.0,0.0,5.0,47.0,0.02,0.06,0.0,0.0,May,,2.0,3.0,1.0,Returning_Visitor,0.0,0.0
62.0,3.0,28.0,0.0,,20.0,633.75,0.0,19.047.619,3.243.717.827,0.0,Dec,,10.0,1.0,1.0,Returning_Visitor,1.0,1.0
63.0,,0.0,0.0,,33.0,19.968.166.670.000.000,0.0,625,4.406.491.359,0.0,Nov,,2.0,6.0,2.0,Returning_Visitor,0.0,1.0
64.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Nov,,2.0,7.0,13.0,Returning_Visitor,0.0,0.0
65.0,0.0,0.0,0.0,0.0,3.0,0.0,166.666.667,177.777.778,0.0,0.0,May,,2.0,3.0,13.0,Returning_Visitor,0.0,0.0
66.0,0.0,0.0,0.0,0.0,47.0,16.970.583.329.999.900,,19.565.217,1.990.788.672,0.0,Dec,,2.0,7.0,1.0,Returning_Visitor,0.0,0.0
67.0,4.0,98.6,0.0,0.0,10.0,63.6,90.909.091,90.909.091,0.0,0.0,Sep,,1.0,4.0,3.0,Returning_Visitor,0.0,0.0
68.0,0.0,0.0,0.0,0.0,13.0,7.515.416.667.000.000,33.846.154,,0.0,0.0,Dec,,1.0,7.0,2.0,Returning_Visitor,0.0,0.0
69.0,0.0,0.0,0.0,,20.0,1.968.333.333,0.04,6.333.333.299.999.990,0.0,0.6,May,,2.0,1.0,4.0,Returning_Visitor,0.0,0.0
70.0,6.0,1.842.727.273,0.0,0.0,32.0,1.427.689.394,10.810.811.000.000.000,,1.349.031.898,0.0,Nov,,2.0,1.0,13.0,Returning_Visitor,0.0,1.0
71.0,4.0,87.0,5.0,,61.0,4.081.041.667,,19.375,0.0,0.0,Nov,,5.0,6.0,2.0,Returning_Visitor,1.0,0.0
72.0,2.0,131.5,0.0,0.0,26.0,1.960.475,7.407.406.999.999.990,24.074.074,3.369.233.226,0.0,Nov,,1.0,1.0,2.0,,0.0,1.0
73.0,0.0,0.0,0.0,0.0,12.0,70.0,,166.666.667,0.0,0.4,May,,1.0,3.0,3.0,Returning_Visitor,0.0,0.0
74.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,Mar,,2.0,1.0,1.0,Returning_Visitor,0.0,0.0
75.0,0.0,0.0,0.0,,3.0,29.0,0.0,66.666.667,0.0,0.0,May,,2.0,1.0,4.0,Returning_Visitor,1.0,0.0
76.0,0.0,0.0,0.0,0.0,49.0,1023.96,34.693.878,57.823.129,0.0,0.0,Aug,2.0,2.0,3.0,3.0,Returning_Visitor,0.0,0.0
77.0,1.0,4.0,0.0,0.0,13.0,16.116.666.669.999.900,24.615.385,61.538.462,0.0,0.6,May,,5.0,9.0,5.0,Returning_Visitor,0.0,0.0
78.0,0.0,0.0,0.0,0.0,41.0,3389.8,32.478.632,5.019.425,0.0,0.0,Sep,2.0,4.0,3.0,1.0,Returning_Visitor,0.0,0.0
79.0,0.0,0.0,0.0,0.0,27.0,652.7,0.0,2.962.963,0.0,0.0,Jul,,2.0,7.0,1.0,Returning_Visitor,1.0,0.0
80.0,11.0,8.280.526.316,6.0,,57.0,2.099.930.554,3.333.333,9.142.857,32.986.800.000.000.000,0.0,Mar,,2.0,1.0,2.0,Returning_Visitor,0.0,0.0
81.0,7.0,16.591.666.669.999.900,2.0,150.5,42.0,3.127.078.788,9.614.512,21.287.825,0.0,0.0,Nov,,1.0,3.0,2.0,Returning_Visitor,0.0,0.0
82.0,0.0,0.0,0.0,,4.0,75.5,0.0,0.05,0.0,0.0,Nov,,2.0,1.0,8.0,,0.0,0.0
83.0,5.0,51.5,0.0,,2.0,6.0,,33.333.333,0.0,0.0,Mar,,5.0,2.0,1.0,Returning_Visitor,0.0,0.0
84.0,0.0,0.0,0.0,0.0,15.0,263.25,13.333.333,0.04,0.0,0.0,Nov,,1.0,3.0,10.0,Returning_Visitor,1.0,0.0
85.0,1.0,45.0,0.0,,8.0,183.0,0.0,11.111.111.000.000.000,0.0,0.0,May,,1.0,1.0,4.0,,0.0,0.0
86.0,0.0,0.0,0.0,,10.0,1.301.666.667,55.555.556,83.333.333,2.666.133.333,0.0,Mar,,2.0,1.0,8.0,Returning_Visitor,0.0,0.0
87.0,8.0,46.875,3.0,10.0,111.0,5.358.375.439,0.0,11.957.672,1.021.771.151,0.0,Nov,,2.0,1.0,11.0,Returning_Visitor,0.0,1.0
88.0,0.0,0.0,0.0,0.0,30.0,1.370.833.333,42.145.594,66.781.609,0.0,0.0,May,,2.0,2.0,4.0,Returning_Visitor,0.0,0.0
89.0,0.0,0.0,0.0,0.0,2.0,53.5,,0.15,0.0,0.0,Dec,,3.0,5.0,20.0,Returning_Visitor,0.0,0.0
90.0,5.0,53.3,0.0,0.0,4.0,102.2,,25,3.144.363.136,0.0,Oct,,2.0,6.0,2.0,Returning_Visitor,0.0,1.0
91.0,0.0,0.0,0.0,0.0,6.0,199.25,0.0,33.333.333,0.0,0.0,Dec,,4.0,1.0,3.0,Other,0.0,0.0
92.0,0.0,0.0,0.0,0.0,102.0,4509.0,11.764.706.000.000.000,37.679.739,0.0,0.0,Nov,,2.0,7.0,1.0,Returning_Visitor,0.0,0.0
93.0,,0.0,0.0,0.0,47.0,902.77,22.222.222.000.000.000,4.037.037,0.0,0.0,Jul,3.0,2.0,8.0,1.0,Returning_Visitor,0.0,0.0
94.0,0.0,0.0,1.0,,30.0,1.045.833.333,12.903.226,35.483.871,0.0,0.2,Feb,1.0,1.0,1.0,3.0,Returning_Visitor,0.0,0.0
95.0,0.0,0.0,0.0,0.0,3.0,125.0,,75,0.0,0.8,May,,2.0,1.0,4.0,Returning_Visitor,0.0,0.0
96.0,0.0,0.0,0.0,0.0,10.0,9.026.666.667.000.000,0.0,0.03,0.0,0.0,Nov,2.0,2.0,3.0,20.0,,1.0,0.0
97.0,,0.0,0.0,0.0,4.0,228.5,33.333.333,0.03,0.0,0.4,May,,2.0,,1.0,Returning_Visitor,0.0,0.0
98.0,0.0,0.0,0.0,,14.0,264.5,0.0,7.142.857,0.0,0.0,Mar,,2.0,1.0,10.0,Returning_Visitor,0.0,0.0
99.0,,0.0,0.0,,17.0,557.4,0.0,11.111.111.000.000.000,8.393.274.289,0.0,Sep,,2.0,2.0,2.0,New_Visitor,1.0,1.0
100.0,0.0,0.0,0.0,0.0,4.0,44.0,25,83.333.333,0.0,0.2,May,2.0,2.0,5.0,6.0,Returning_Visitor,0.0,0.0
101.0,1.0,76.0,0.0,0.0,19.0,1.263.333.333,11.764.706.000.000.000,23.529.412.000.000.000,6.034.235.294,0.6,May,,2.0,1.0,3.0,Returning_Visitor,0.0,1.0
102.0,4.0,57.5,0.0,0.0,27.0,608.4,14.814.815,16.722.783,7.108.148.148,0.0,May,,2.0,3.0,13.0,Returning_Visitor,0.0,0.0
103.0,2.0,24.6,0.0,0.0,26.0,7.795.051.587,11.111.111.000.000.000,34.403.292,1.255.220.741,0.0,Mar,1.0,1.0,3.0,1.0,Returning_Visitor,1.0,1.0
104.0,0.0,0.0,0.0,0.0,41.0,1.444.166.667,9.756.098,,0.0,0.0,May,,2.0,1.0,4.0,Returning_Visitor,0.0,0.0
105.0,2.0,39.4,0.0,0.0,62.0,2.021.747.727,3.076.923,15.641.026.000.000.000,0.0,0.0,Oct,2.0,2.0,1.0,4.0,Returning_Visitor,0.0,0.0
106.0,2.0,60.0,6.0,459.0,17.0,1.370.067.857,2.173.913,35.072.464,0.0,0.0,May,,1.0,6.0,1.0,Returning_Visitor,0.0,0.0
107.0,0.0,0.0,0.0,0.0,49.0,157.112.381,42.553.190.000.000.000,10.638.298,0.0,0.0,Jul,,2.0,8.0,4.0,New_Visitor,1.0,0.0
108.0,1.0,12.0,2.0,11.0,18.0,9.741.666.667.000.000,5.454.545,32.251.082,0.0,0.0,Nov,,2.0,1.0,2.0,New_Visitor,0.0,0.0
109.0,13.0,4.569.880.952,3.0,,39.0,9.767.103.175,,9.722.222,3.965.538.156,0.0,Mar,,1.0,1.0,1.0,Returning_Visitor,1.0,1.0
110.0,0.0,0.0,0.0,0.0,14.0,320.25,0.0,13.333.333,5.217.313.647,0.0,Oct,2.0,2.0,1.0,3.0,Returning_Visitor,1.0,1.0
111.0,,0.0,0.0,0.0,20.0,45.758.333.330.000.000,22.222.222.000.000.000,44.444.444.000.000.000,0.0,0.0,May,,2.0,9.0,4.0,Returning_Visitor,1.0,0.0
112.0,0.0,0.0,2.0,66.0,27.0,875.5,0.0,14.367.816,0.0,0.0,May,,2.0,1.0,2.0,Returning_Visitor,1.0,0.0
113.0,1.0,44.0,0.0,0.0,25.0,7.734.666.667,0.0,29.142.857,10.3572,0.0,Mar,2.0,2.0,1.0,2.0,Returning_Visitor,1.0,1.0
114.0,0.0,0.0,0.0,0.0,6.0,8.653.333.333,0.0,66.666.667,0.0,0.0,Oct,,1.0,7.0,2.0,Returning_Visitor,1.0,0.0
115.0,0.0,0.0,0.0,0.0,19.0,771.75,21.052.632,61.403.509,0.0,0.0,Nov,,2.0,3.0,1.0,Returning_Visitor,0.0,0.0
116.0,0.0,0.0,0.0,0.0,27.0,7.801.666.667.000.000,0.0,22.222.222.000.000.000,0.0,0.0,Mar,2.0,4.0,3.0,2.0,Returning_Visitor,0.0,0.0
117.0,12.0,187.775,0.0,,98.0,2.138.481.263,1.886.792,17.985.395,12.967.689.300.000.000,0.0,Jul,,5.0,3.0,2.0,,1.0,0.0
118.0,6.0,2.411.666.667,0.0,0.0,39.0,1.513.566.667,5.128.205,,0.0,0.0,Mar,,1.0,1.0,3.0,Returning_Visitor,0.0,0.0
119.0,0.0,0.0,0.0,0.0,5.0,2.663.333.333,0.04,0.08,0.0,0.0,Mar,3.0,2.0,1.0,3.0,Returning_Visitor,0.0,0.0
120.0,1.0,26.0,1.0,0.0,55.0,872.4,35.087.720.000.000.000,1.754.386,0.0,0.0,Mar,,5.0,1.0,1.0,Returning_Visitor,1.0,0.0
121.0,0.0,0.0,1.0,68.5,25.0,927.0,7.692.308,34.615.385,0.0,0.0,Nov,,2.0,3.0,2.0,Returning_Visitor,1.0,0.0
122.0,10.0,3.039.279.762,0.0,,82.0,1.853.286.538,0.0,15.957.265,1.101.940.759,0.0,Dec,2.0,2.0,3.0,2.0,Returning_Visitor,0.0,0.0
123.0,,18.0,0.0,0.0,5.0,298.0,0.0,28.571.429,0.0,0.8,Feb,2.0,2.0,8.0,4.0,Returning_Visitor,0.0,0.0
124.0,0.0,0.0,0.0,0.0,12.0,348.75,0.0,27.777.778,0.0,0.0,Nov,,2.0,4.0,3.0,Returning_Visitor,0.0,0.0
125.0,13.0,123.875,0.0,0.0,87.0,2.903.764.417.000.000,625,15.280.206,17.733.693.330.000.000,0.0,Dec,,2.0,3.0,2.0,Returning_Visitor,0.0,0.0
126.0,,0.0,0.0,,7.0,70.4,114.285.714,128.571.429,0.0,0.0,Jul,,2.0,4.0,1.0,Returning_Visitor,0.0,0.0
127.0,6.0,143.0,0.0,0.0,32.0,2289.1,0.0,,6.233.035.594,0.0,Nov,3.0,2.0,9.0,3.0,New_Visitor,1.0,0.0
128.0,0.0,0.0,0.0,0.0,27.0,1.166.683.333,14.074.074,26.492.375,0.0,0.0,Nov,,2.0,7.0,3.0,Returning_Visitor,0.0,0.0
129.0,0.0,0.0,0.0,0.0,7.0,236.0,,85.714.286,0.0,0.0,Mar,,2.0,3.0,2.0,Returning_Visitor,0.0,0.0
130.0,1.0,33.5,0.0,0.0,37.0,1.631.416.667,0.0,9.009.009,1.382.316.952,0.0,Dec,,2.0,1.0,1.0,Returning_Visitor,0.0,0.0
131.0,0.0,0.0,0.0,0.0,17.0,349.375,125,1.875,0.0,0.0,Nov,,2.0,9.0,20.0,Returning_Visitor,0.0,0.0
132.0,0.0,0.0,0.0,0.0,28.0,5.127.166.666.999.990,7.142.857,13.571.429,1.401.949.127,0.0,Jul,,2.0,7.0,1.0,Returning_Visitor,1.0,1.0
133.0,0.0,0.0,0.0,0.0,4.0,103.8,0.1,0.15,0.0,0.0,Jul,,1.0,1.0,1.0,,0.0,0.0
134.0,0.0,0.0,0.0,0.0,13.0,2.088.333.333,30.769.231,88.461.538,0.0,0.4,May,,2.0,6.0,4.0,Returning_Visitor,0.0,0.0
135.0,,1.925.714.286,8.0,1.193.125,146.0,8.150.556.716,1.290.323,,1.842.913.617,0.0,Nov,,4.0,4.0,2.0,Returning_Visitor,1.0,0.0
136.0,0.0,0.0,0.0,0.0,26.0,47.081.666.669.999.900,5.128.205,42.307.692,0.0,0.0,Nov,,2.0,4.0,11.0,,1.0,0.0
137.0,0.0,0.0,0.0,,1.0,0.0,,0.2,0.0,0.0,Mar,1.0,1.0,1.0,3.0,Returning_Visitor,0.0,0.0
138.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.0,0.0,May,,2.0,3.0,3.0,Returning_Visitor,0.0,0.0
139.0,4.0,396.5,0.0,,6.0,415.5,0.0,125,0.0,0.0,Dec,,1.0,3.0,8.0,New_Visitor,0.0,0.0
140.0,0.0,0.0,0.0,,7.0,1689.0,28.571.429,85.714.286,0.0,0.6,May,,2.0,3.0,3.0,Returning_Visitor,0.0,0.0
141.0,,169.5,2.0,105.0,35.0,9.904.642.857,,,1.478.162.714,0.0,Nov,,1.0,1.0,2.0,,1.0,1.0
142.0,2.0,59.5,0.0,,3.0,6.766.666.667,0.0,0.02,0.0,0.0,Nov,,2.0,8.0,2.0,New_Visitor,0.0,0.0
143.0,8.0,1.313.333.333,1.0,4.0,95.0,2.107.583.333,0.0,4.166.667,0.0,0.0,May,2.0,2.0,4.0,4.0,Returning_Visitor,1.0,0.0
144.0,3.0,73.6,0.0,0.0,10.0,104.95,0.0,1.851.852,0.0,0.0,Oct,,2.0,3.0,2.0,Returning_Visitor,1.0,0.0
145.0,0.0,0.0,0.0,,9.0,218.0,0.0,33.333.333,0.0,0.0,Mar,,2.0,6.0,3.0,Returning_Visitor,1.0,0.0
146.0,,0.0,0.0,,1.0,0.0,0.2,0.2,0.0,0.0,May,,2.0,1.0,3.0,Returning_Visitor,0.0,0.0
147.0,0.0,0.0,0.0,0.0,8.0,101.75,25,75,0.0,0.0,Nov,,2.0,6.0,2.0,Returning_Visitor,0.0,0.0
148.0,0.0,0.0,0.0,0.0,6.0,140.0,0.0,33.333.333,0.0,0.0,May,2.0,6.0,3.0,6.0,Returning_Visitor,0.0,0.0
149.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.2,0.0,0.0,May,,2.0,2.0,3.0,Returning_Visitor,0.0,0.0
150.0,1.0,88.0,3.0,,57.0,1.656.410.714,,2.259.887,0.0,0.0,Nov,2.0,4.0,9.0,3.0,Returning_Visitor,0.0,0.0
151.0,0.0,0.0,0.0,,27.0,5.895.738.094.999.990,7.407.406.999.999.990,5.555.556,0.0,0.0,May,,2.0,3.0,4.0,Returning_Visitor,1.0,0.0
152.0,0.0,0.0,0.0,0.0,13.0,1985.0,16.666.667,,0.0,0.0,Nov,,1.0,7.0,6.0,Returning_Visitor,0.0,0.0
153.0,2.0,16.0,0.0,0.0,42.0,1.743.517.857,0.0,12.804.878,0.0,0.0,Nov,2.0,2.0,1.0,2.0,Returning_Visitor,0.0,0.0
154.0,3.0,40.55,0.0,0.0,10.0,1.510.818.182,8.333.333,38.888.889,0.0,0.0,Jul,2.0,2.0,1.0,5.0,,0.0,0.0
155.0,2.0,41.4,0.0,0.0,28.0,1.576.966.667,0.0,18.452.381,0.0,0.0,Nov,,2.0,9.0,2.0,Returning_Visitor,1.0,0.0
156.0,3.0,26.7,2.0,49.4,16.0,703.3,0.0,0.01,0.0,0.0,Aug,,4.0,3.0,4.0,Returning_Visitor,0.0,0.0
157.0,0.0,0.0,0.0,0.0,21.0,604.5,0.0,19.047.619,0.0,0.0,Nov,,2.0,1.0,13.0,New_Visitor,0.0,0.0
158.0,0.0,0.0,0.0,,11.0,2.675.666.667,,9.090.909,768.745.056,0.0,Oct,2.0,2.0,1.0,3.0,New_Visitor,0.0,1.0
159.0,1.0,1.142.857.143,0.0,0.0,13.0,8.332.333.332.999.990,0.0,5.555.556,0.0,0.0,Mar,,2.0,3.0,2.0,Returning_Visitor,1.0,0.0
160.0,0.0,0.0,0.0,0.0,7.0,314.5,33.333.333,66.666.667,0.0,0.0,Mar,,2.0,3.0,1.0,Returning_Visitor,0.0,0.0
161.0,0.0,0.0,0.0,0.0,81.0,1.950.840.873,49.382.720.000.000.000,24.773.663,0.0,0.0,Nov,,2.0,1.0,2.0,Returning_Visitor,0.0,1.0
162.0,0.0,0.0,0.0,0.0,10.0,228.0,0.0,0.06,0.0,0.0,Nov,2.0,10.0,1.0,1.0,Returning_Visitor,1.0,0.0
163.0,0.0,0.0,0.0,0.0,8.0,44.463.333.330.000.000,0.0,25,0.0,0.0,Nov,,4.0,1.0,10.0,Returning_Visitor,0.0,0.0
164.0,,0.0,0.0,0.0,20.0,528.0,0.0,75,311.904,0.6,May,,2.0,1.0,4.0,New_Visitor,0.0,1.0
165.0,0.0,0.0,0.0,,15.0,2.429.166.667,6.666.666.999.999.990,,0.0,0.0,Nov,,2.0,1.0,11.0,Returning_Visitor,1.0,0.0
166.0,5.0,82.0,1.0,,118.0,2.595.095.833,1.680.672,12.371.615,387.483.363,0.0,Nov,,2.0,1.0,1.0,Returning_Visitor,0.0,1.0
167.0,1.0,10.5,0.0,0.0,7.0,525.0,0.0,952.381,0.0,0.0,Mar,2.0,4.0,4.0,8.0,Returning_Visitor,0.0,0.0
